f_1,f_2,f_3,f_4,f_5,x_1,x_2
-6.0353103747491685,-3.127562347110109,-6.124419474574022,1.862459500039034,0.21595098935142687,0.8657754954842151,0.8659509893514269
-6.256832899519692,-3.439779820986624,-3.8254617360272336,9.706666666666656,0.35,0.9633625108016265,1.0
-5.790626474079634,-2.9195103641594695,-6.832585228842007,0.24569565377929292,0.10798601016898957,0.7579852308720854,0.5420139898310105
-4.8924999269173854,-3.225420890477252,-7.469424229379189,3.6041285996836496,0.28790411087358747,0.36233476956713,0.9379041108735875
-4.897113860374717,-3.2247173474231356,-7.4682814769176655,3.589711434018433,0.28754872247164287,0.3643673393721219,0.9375487224716429
-4.891398685902585,-3.225828237115416,-7.469695515279993,3.612052998464544,0.28815035863322264,0.3618496413667774,0.9380984387042601
-4.898103536593726,-3.2240691597113744,-7.468035065617894,3.577397179284289,0.2872432756390566,0.3648033200853418,0.9372432756390566
-4.900151168358837,-3.225169555838911,-7.467523785435424,3.597266439422188,0.28773525333361394,0.3657053605105009,0.937735253333614
-4.893353354713118,-3.2248265509528076,-7.469213604176836,3.592809105374722,0.287625282433003,0.36271072894851,0.937625282433003
-4.895916196859057,-3.2258657090723935,-7.4685790608506535,3.611466655335567,0.28808408443214895,0.3638397342991436,0.938084084432149
-6.125170977854722,-3.3351800092197115,-5.583485775204824,5.568337431768568,0.32105549663026767,0.9053616642531815,0.9710554966302677
-6.122031632667049,-3.3351042418034123,-5.607575565571539,5.569580558060767,0.3210699118523226,0.9039786928048674,0.9710699118523226
-4.891942259969506,-3.224274555369985,-7.469561678459634,3.5829488472839692,0.2879108986918479,0.36208910130815214,0.9373811983527491
-4.893837544230464,-3.2240276593762855,-7.469093956191749,3.577833275401236,0.28725412272993056,0.36292402829535836,0.9372541227299306
-4.896444904917791,-3.2240646996779754,-7.468447775152164,3.5777833003510464,0.28725287980437686,0.3640726453382337,0.9372528798043769
-6.116549349460762,-3.3328503731952814,-5.648516209032056,5.509734814694465,0.3203694106049,0.9015635900708201,0.9703694106049
-6.1250835750583175,-3.3353372062965057,-5.584162997901814,5.573054060556552,0.32111016017798477,0.9053231608186418,0.9711101601779848
-4.89397520635495,-3.2260102400067043,-7.469059918626279,3.614724034458262,0.2881637790282129,0.36298467240306176,0.9381637790282129
-4.895456514448086,-3.2247845376211854,-7.468693100485077,3.591431059633745,0.28759123722154756,0.3636372310343992,0.9375912372215476
-6.124696746595358,-3.334541197358253,-5.587155725835483,5.550132893981987,0.32084374256815706,0.9051527518041222,0.9708437425681571
-4.898698573976938,-3.224808859475925,-7.467886691405042,3.590963965667389,0.2875796925052989,0.36506545109116223,0.9375796925052989
-4.895386403085245,-3.2246991891250527,-7.4687104852969854,3.589863451288558,0.2875524822066333,0.36360634497147376,0.9375524822066333
-4.895689549067862,-3.2240326871021194,-7.468635300753661,3.577403320006936,0.28724342839361183,0.3637398894572079,0.9372434283936119
-4.895654535528137,-3.2236116065863776,-7.468643986802116,3.56961595226094,0.2870493595951561,0.3637244649903686,0.9370493595951561
-4.901550059468983,-3.225106817751202,-7.467173359045647,3.5957000816548126,0.28769663430402603,0.36632161210087333,0.937696634304026
-4.894973639034136,-3.224022768958564,-7.468812787804378,3.5774217223251465,0.28724388616087704,0.36342451058772496,0.9372438861608771
-4.895680404455406,-3.2240424675590664,-7.46863756937544,3.577587198891983,0.2872480022999482,0.36373586099357064,0.9372480022999482
-4.893594977618824,-3.224244982125728,-7.4691539104071705,3.581932723528954,0.2873559810343841,0.3628171707571911,0.9373559810343841
-4.899311060216187,-3.2248608350063273,-7.46773379290267,3.591757087130456,0.2875992938440528,0.3653352688177034,0.9375992938440528
-4.89240300066805,-3.225670766903249,-7.469448129307624,3.6088230201475797,0.288019317087159,0.3622920707788768,0.938019317087159
-6.123683974587957,-3.3345865935705206,-5.594956249770171,5.5525781237269225,0.32087225684710396,0.9047065967347825,0.970872256847104
-4.892410233389619,-3.225643761387366,-7.469446346024549,3.608316315628099,0.2880068940836935,0.36229525699983184,0.9380068940836935
-6.1289344841684095,-3.3348926403144805,-5.553961989162705,5.555723891357567,0.3209089075214522,0.9070195965499601,0.9709089075214522
-5.53295688962885,-3.4188250657035884,-7.157606745326578,9.706666666666656,0.35,0.644474400717555,1.0
-4.893377075917047,-3.2241268686296496,-7.469207744973008,3.5798029788139836,0.2873030879634536,0.3627211788180823,0.9373030879634536
-4.895704457207667,-3.2247063835959278,-7.46863160221579,3.589907094756917,0.2875535615602831,0.36374645691967694,0.9375535615602831
-4.891246180420086,-3.2249736972538767,-7.469733040031133,3.5961462702313405,0.2882175416651608,0.36178245833483924,0.9377076380864806
-4.890550008718959,-3.225158754507919,-7.4699041998631355,3.5997924173056965,0.2885242252339387,0.3614757747660613,0.9377974728509715
-6.12364491337824,-3.3345626071620984,-5.595256099197327,5.551918911983581,0.320864571847128,0.9046893891534096,0.970864571847128
-4.8980561159425395,-3.2256841792710604,-7.468046882951475,3.6074638429092385,0.2879859872025138,0.3647824299306338,0.9379859872025138
-4.8963120757805525,-3.2235271185365693,-7.468480770783976,3.5678680442823527,0.28700570275409365,0.3640141302998029,0.9370057027540937
